"Year","state","state.code","Sum_Total_Homeless","Sum_Unemploy_Rate","avg_homeless_07to16","avg_unemploy_07to16","Estimate Date","Estimate"
2013,"Michigan","MI",11527,1000.6,15296.9,658.28,"EST_JUL_2013",9898982
2013,"Minnesota","MN",8214,650.1,7727.1,651.42,"EST_JUL_2013",5418521
2013,"Mississippi","MS",2403,977.8,2194.7,851.98,"EST_JUL_2013",2990482
2013,"Missouri","MO",8943,956.4,7911,917.75,"EST_JUL_2013",6042711
2013,"Montana","MT",1878,369.5,1572.9,354.64,"EST_JUL_2013",1014314
2013,"Nebraska","NE",3145,407.4,3411.7,381.19,"EST_JUL_2013",1868559
2013,"Nevada","NV",7039,176.7,8907.1,156.47,"EST_JUL_2013",2786464
2013,"New Hampshire","NH",1447,60,1608.5,52.18,"EST_JUL_2013",1322687
2013,"New Jersey","NJ",12002,220.1,12788,175.24,"EST_JUL_2013",8899162
2013,"New Mexico","NM",2819,270.8,3028.3,241.53,"EST_JUL_2013",2085193
2013,"New York","NY",77430,602.8,71603.2,497.59,"EST_JUL_2013",19673546
2013,"North Carolina","NC",12168,1114.3,11964.5,935.65,"EST_JUL_2013",9841590
2013,"North Dakota","ND",2069,241.7,966.9,249.92,"EST_JUL_2013",724019
2013,"Ohio","OH",12325,875.2,12218.6,807.37,"EST_JUL_2013",11570022
2013,"Oklahoma","OK",4408,476.8,4427.4,436.06,"EST_JUL_2013",3852415
